Date,Fajr,Sunrise,Zenith,Dhuhr,Asr,Maghrib,Isha
1-Jan,6:08,7:37,11:50,12:35,3:55,5:36,7:01
2-Jan,6:08,7:37,11:50,12:35,3:56,5:37,7:02
3-Jan,6:08,7:37,11:50,12:36,3:57,5:37,7:03
4-Jan,6:09,7:37,11:51,12:36,3:58,5:38,7:04
5-Jan,6:09,7:37,11:51,12:37,3:59,5:39,7:05
6-Jan,6:09,7:37,11:52,12:37,4:00,5:40,7:05
7-Jan,6:09,7:37,11:52,12:38,4:01,5:40,7:06
8-Jan,6:10,7:37,11:53,12:38,4:02,5:41,7:07
9-Jan,6:10,7:37,11:53,12:39,4:03,5:42,7:08
10-Jan,6:10,7:37,11:54,12:39,4:03,5:43,7:08
11-Jan,6:10,7:36,11:54,12:39,4:04,5:44,7:09
12-Jan,6:10,7:36,11:54,12:39,4:05,5:45,7:10
13-Jan,6:10,7:36,11:54,12:40,4:06,5:46,7:11
14-Jan,6:10,7:36,11:55,12:40,4:07,5:47,7:12
15-Jan,6:10,7:36,11:55,12:41,4:08,5:48,7:12
16-Jan,6:10,7:36,11:56,12:41,4:09,5:49,7:13
17-Jan,6:09,7:35,11:56,12:42,4:09,5:50,7:14
18-Jan,6:09,7:35,11:57,12:42,4:10,5:51,7:15
19-Jan,6:09,7:35,11:57,12:42,4:11,5:52,7:16
20-Jan,6:09,7:35,11:58,12:42,4:12,5:52,7:17
21-Jan,6:08,7:35,11:58,12:42,4:13,5:53,7:18
22-Jan,6:08,7:35,11:58,12:42,4:14,5:54,7:18
23-Jan,6:08,7:34,11:59,12:43,4:15,5:55,7:19
24-Jan,6:08,7:33,11:59,12:43,4:16,5:56,7:20
25-Jan,6:08,7:33,11:59,12:43,4:17,5:57,7:21
26-Jan,6:07,7:33,12:00,12:44,4:18,5:58,7:21
27-Jan,6:07,7:32,12:00,12:44,4:19,5:59,7:22
28-Jan,6:06,7:31,12:00,12:44,4:20,6:00,7:23
29-Jan,6:06,7:30,12:01,12:44,4:21,6:01,7:24
30-Jan,6:05,7:30,12:01,12:45,4:22,6:02,7:25
31-Jan,6:04,7:30,12:01,12:45,4:23,6:03,7:26
1-Feb,6:03,7:29,12:01,12:45,4:23,6:04,7:27
2-Feb,6:03,7:28,12:01,12:45,4:24,6:05,7:28
3-Feb,6:02,7:27,12:01,12:45,4:25,6:07,7:29
4-Feb,6:01,7:26,12:02,12:45,4:26,6:08,7:29
5-Feb,6:00,7:25,12:02,12:45,4:27,6:09,7:30
6-Feb,5:59,7:25,12:02,12:45,4:28,6:09,7:30
7-Feb,5:59,7:24,12:02,12:45,4:28,6:10,7:31
8-Feb,5:58,7:23,12:02,12:45,4:29,6:11,7:32
9-Feb,5:58,7:23,12:03,12:45,4:30,6:12,7:32
